state_abbrev,chamber,nominate_dim1,nominate_dim2,pieces_cosponsored,num_congresses,bioname,nominate_mid_1,nominate_mid_2,dem_cosponsors,rep_cosponsors,bill_number,vote_desc,vote_result,vote,rollnumber,icpsr,party_code_1,party_code_2
FL,1,0.333,-0.417,0.009466666666666667,0.05,"MARTINEZ, Melquiades R. (Mel)",0.312,-0.95,0.0,0.0,S22,"A bill to designate certain land as components of the National Wilderness Preservation System, to authorize certain programs and activities in the Department of the Interior and the Department of Agriculture, and for other purposes.",Bill Passed,1,3,40501,0,1
MN,1,-0.279,-0.326,0.07246666666666667,0.025,"KLOBUCHAR, Amy",0.312,-0.95,0.0,0.0,S22,"A bill to designate certain land as components of the National Wilderness Preservation System, to authorize certain programs and activities in the Department of the Interior and the Department of Agriculture, and for other purposes.",Bill Passed,1,3,40700,0,0
MO,1,-0.143,0.023,0.020106666666666665,0.025,"McCASKILL, Claire",0.312,-0.95,0.0,0.0,S22,"A bill to designate certain land as components of the National Wilderness Preservation System, to authorize certain programs and activities in the Department of the Interior and the Department of Agriculture, and for other purposes.",Bill Passed,1,3,40701,0,0
MT,1,-0.213,0.153,0.04132,0.025,"TESTER, Jon",0.312,-0.95,0.0,0.0,S22,"A bill to designate certain land as components of the National Wilderness Preservation System, to authorize certain programs and activities in the Department of the Interior and the Department of Agriculture, and for other purposes.",Bill Passed,1,3,40702,0,0
PA,1,-0.313,0.166,0.05554666666666667,0.025,"CASEY, Robert (Bob), Jr.",0.312,-0.95,0.0,0.0,S22,"A bill to designate certain land as components of the National Wilderness Preservation System, to authorize certain programs and activities in the Department of the Interior and the Department of Agriculture, and for other purposes.",Bill Passed,1,3,40703,0,0
RI,1,-0.353,-0.109,0.06324,0.025,"WHITEHOUSE, Sheldon",0.312,-0.95,0.0,0.0,S22,"A bill to designate certain land as components of the National Wilderness Preservation System, to authorize certain programs and activities in the Department of the Interior and the Department of Agriculture, and for other purposes.",Bill Passed,1,3,40704,0,0
TN,1,0.395,-0.344,0.01064,0.025,"CORKER, Robert (Bob)",0.312,-0.95,0.0,0.0,S22,"A bill to designate certain land as components of the National Wilderness Preservation System, to authorize certain programs and activities in the Department of the Interior and the Department of Agriculture, and for other purposes.",Bill Passed,1,3,40705,0,1
VA,1,-0.169,0.023,0.007066666666666666,0.025,"WEBB, James H. (Jim)",0.312,-0.95,0.0,0.0,S22,"A bill to designate certain land as components of the National Wilderness Preservation System, to authorize certain programs and activities in the Department of the Interior and the Department of Agriculture, and for other purposes.",Bill Passed,1,3,40706,0,0
WY,1,0.54,0.194,0.031906666666666667,0.025,"BARRASSO, John A.",0.312,-0.95,0.0,0.0,S22,"A bill to designate certain land as components of the National Wilderness Preservation System, to authorize certain programs and activities in the Department of the Interior and the Department of Agriculture, and for other purposes.",Bill Passed,1,3,40707,0,1
AK,1,-0.235,0.15,0.021053333333333334,0.0,"BEGICH, Mark",0.312,-0.95,0.0,0.0,S22,"A bill to designate certain land as components of the National Wilderness Preservation System, to authorize certain programs and activities in the Department of the Interior and the Department of Agriculture, and for other purposes.",Bill Passed,1,3,40900,0,0
ID,1,0.551,0.384,0.037013333333333336,0.0,"RISCH, James",0.312,-0.95,0.0,0.0,S22,"A bill to designate certain land as components of the National Wilderness Preservation System, to authorize certain programs and activities in the Department of the Interior and the Department of Agriculture, and for other purposes.",Bill Passed,1,3,40902,0,1
NE,1,0.391,0.293,0.012373333333333333,0.0,"JOHANNS, Mike",0.312,-0.95,0.0,0.0,S22,"A bill to designate certain land as components of the National Wilderness Preservation System, to authorize certain programs and activities in the Department of the Interior and the Department of Agriculture, and for other purposes.",Bill Passed,0,3,40905,0,1
NH,1,-0.223,-0.138,0.05512,0.0,"SHAHEEN, Jeanne",0.312,-0.95,0.0,0.0,S22,"A bill to designate certain land as components of the National Wilderness Preservation System, to authorize certain programs and activities in the Department of the Interior and the Department of Agriculture, and for other purposes.",Bill Passed,1,3,40906,0,0
NC,1,-0.202,0.281,0.00804,0.0,"HAGAN, Kay",0.312,-0.95,0.0,0.0,S22,"A bill to designate certain land as components of the National Wilderness Preservation System, to authorize certain programs and activities in the Department of the Interior and the Department of Agriculture, and for other purposes.",Bill Passed,1,3,40907,0,0
OR,1,-0.453,-0.727,0.06256,0.0,"MERKLEY, Jeff",0.312,-0.95,0.0,0.0,S22,"A bill to designate certain land as components of the National Wilderness Preservation System, to authorize certain programs and activities in the Department of the Interior and the Department of Agriculture, and for other purposes.",Bill Passed,1,3,40908,0,0
VA,1,-0.211,-0.042,0.03244,0.0,"WARNER, Mark",0.312,-0.95,0.0,0.0,S22,"A bill to designate certain land as components of the National Wilderness Preservation System, to authorize certain programs and activities in the Department of the Interior and the Department of Agriculture, and for other purposes.",Bill Passed,1,3,40909,0,0
CA,1,-0.268,-0.184,0.08969333333333333,0.225,"FEINSTEIN, Dianne",0.312,-0.95,0.0,0.0,S22,"A bill to designate certain land as components of the National Wilderness Preservation System, to authorize certain programs and activities in the Department of the Interior and the Department of Agriculture, and for other purposes.",Bill Passed,1,3,49300,0,0
TX,1,0.356,0.012,0.030493333333333334,0.2,"HUTCHISON, Kathryn Ann Bailey (Kay)",0.312,-0.95,0.0,0.0,S22,"A bill to designate certain land as components of the National Wilderness Preservation System, to authorize certain programs and activities in the Department of the Interior and the Department of Agriculture, and for other purposes.",Bill Passed,0,3,49306,0,1
UT,1,0.331,-0.11,0.019013333333333333,0.2,"BENNETT, Robert",0.312,-0.95,0.0,0.0,S22,"A bill to designate certain land as components of the National Wilderness Preservation System, to authorize certain programs and activities in the Department of the Interior and the Department of Agriculture, and for other purposes.",Bill Passed,1,3,49307,0,1
WA,1,-0.356,-0.312,0.08390666666666667,0.2,"MURRAY, Patty",0.312,-0.95,0.0,0.0,S22,"A bill to designate certain land as components of the National Wilderness Preservation System, to authorize certain programs and activities in the Department of the Interior and the Department of Agriculture, and for other purposes.",Bill Passed,1,3,49308,0,0
WI,1,-0.308,-0.951,0.03542666666666667,0.2,"FEINGOLD, Russell Dana",0.312,-0.95,0.0,0.0,S22,"A bill to designate certain land as components of the National Wilderness Preservation System, to authorize certain programs and activities in the Department of the Interior and the Department of Agriculture, and for other purposes.",Bill Passed,1,3,49309,0,0
AL,1,0.549,0.13,0.026933333333333333,0.15,"SESSIONS, Jefferson Beauregard III (Jeff)",0.312,-0.95,0.0,0.0,S22,"A bill to designate certain land as components of the National Wilderness Preservation System, to authorize certain programs and activities in the Department of the Interior and the Department of Agriculture, and for other purposes.",Bill Passed,0,3,49700,0,1
LA,1,-0.203,0.444,0.04645333333333333,0.15,"LANDRIEU, Mary L.",0.312,-0.95,0.0,0.0,S22,"A bill to designate certain land as components of the National Wilderness Preservation System, to authorize certain programs and activities in the Department of the Interior and the Department of Agriculture, and for other purposes.",Bill Passed,1,3,49702,0,0
ME,1,0.124,-0.505,0.087,0.15,"COLLINS, Susan Margaret",0.312,-0.95,0.0,0.0,S22,"A bill to designate certain land as components of the National Wilderness Preservation System, to authorize certain programs and activities in the Department of the Interior and the Department of Agriculture, and for other purposes.",Bill Passed,1,3,49703,0,1
WY,1,0.545,0.199,0.03750666666666667,0.15,"ENZI, Michael B.",0.312,-0.95,0.0,0.0,S22,"A bill to designate certain land as components of the National Wilderness Preservation System, to authorize certain programs and activities in the Department of the Interior and the Department of Agriculture, and for other purposes.",Bill Passed,1,3,49706,0,1
IN,1,-0.158,-0.142,0.02024,0.125,"BAYH, Evan",0.312,-0.95,0.0,0.0,S22,"A bill to designate certain land as components of the National Wilderness Preservation System, to authorize certain programs and activities in the Department of the Interior and the Department of Agriculture, and for other purposes.",Bill Passed,1,3,49901,0,0
OH,1,0.239,-0.803,0.018226666666666665,0.125,"VOINOVICH, George Victor",0.312,-0.95,0.0,0.0,S22,"A bill to designate certain land as components of the National Wilderness Preservation System, to authorize certain programs and activities in the Department of the Interior and the Department of Agriculture, and for other purposes.",Bill Passed,1,3,49903,0,1
