congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
118,Senate,20930,66,0,NM,100,,,"HEINRICH, Martin",H001046,1971,,-0.333,-0.005,-23.64813,0.96443,653,10,,-0.421,0.009
118,Senate,20932,66,0,NM,100,,,"LUJÁN, Ben Ray",L000570,1972,,-0.379,0.03,-24.90124,0.96253,652,12,,-0.427,0.014
118,Senate,14858,13,0,NY,100,,,"SCHUMER, Charles Ellis (Chuck)",S000148,1950,,-0.355,-0.414,-51.93547,0.92388,656,16,,-0.206,-0.416
118,Senate,20735,13,0,NY,100,,,"GILLIBRAND, Kirsten",G000555,1966,,-0.45,-0.315,-25.28289,0.96185,650,11,,-0.325,-0.107
118,Senate,21708,47,0,NC,200,,,"BUDD, Theodore Paul",B001305,1971,,0.633,-0.076,-77.88998,0.88558,641,38,,0.625,-0.049
118,Senate,41504,47,0,NC,200,,,"TILLIS, Thomas Roland (Thom)",T000476,1960,,0.389,-0.108,-130.0693,0.80393,596,67,,0.353,-0.108
118,Senate,21350,36,0,ND,200,,,"CRAMER, Kevin",C001096,1961,,0.398,0.368,-106.41171,0.83471,589,47,,0.402,0.306
118,Senate,41107,36,0,ND,200,,,"HOEVEN, John",H001061,1957,,0.4,0.45,-99.51831,0.85494,635,46,,0.476,0.473
118,Senate,29389,24,0,OH,100,,,"BROWN, Sherrod",B000944,1952,,-0.425,-0.097,-62.66879,0.90795,649,23,,-0.236,0.015
118,Senate,42304,24,0,OH,200,,,"VANCE, James David",V000137,1984,,0.85,-0.527,-77.7805,0.85881,511,39,,0.85,-0.527
118,Senate,21166,53,0,OK,200,,,"LANKFORD, James",L000575,1968,,0.591,0.147,-110.87649,0.84406,654,41,,0.538,0.128
118,Senate,21355,53,0,OK,200,,,"MULLIN, Markwayne",M001190,1977,,0.532,0.25,-93.34598,0.86044,621,40,,0.48,0.436
118,Senate,14871,72,0,OR,100,,,"WYDEN, Ronald Lee",W000779,1949,,-0.333,-0.487,-36.02824,0.94624,652,18,,-0.375,-0.676
118,Senate,40908,72,0,OR,100,,,"MERKLEY, Jeff",M001176,1956,,-0.453,-0.727,-49.4482,0.92587,642,20,,-0.544,-0.681
118,Senate,40703,14,0,PA,100,,,"CASEY, Robert (Bob), Jr.",C001070,1960,,-0.313,0.166,-15.71436,0.97578,641,4,,-0.286,0.028
