congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2,pieces_cosponsored,num_congresses
119,Senate,21355,53,0,OK,200,,,"MULLIN, Markwayne",M001190,1977.0,,0.532,0.25,-6.72976,0.98848,581,2,,0.418,0.298,1567,6
119,Senate,14871,72,0,OR,100,,,"WYDEN, Ronald Lee",W000779,1949.0,,-0.333,-0.487,-33.50992,0.94603,604,14,,-0.426,-0.407,8386,23
119,Senate,40908,72,0,OR,100,,,"MERKLEY, Jeff",M001176,1956.0,,-0.453,-0.727,-15.82543,0.9746,615,6,,-0.533,-0.534,4692,8
119,Senate,42301,14,0,PA,100,,,"FETTERMAN, John Karl",F000479,1969.0,,-0.18,0.119,-108.02696,0.82953,578,54,,-0.165,0.214,732,1
119,Senate,42501,14,0,PA,200,,,"MCCORMICK, David Harold",M001243,1965.0,,0.582,0.581,-4.50302,0.99255,602,1,,0.582,0.581,125,0
119,Senate,29142,5,0,RI,100,,,"REED, John F. (Jack)",R000122,1949.0,,-0.361,-0.16,-85.98452,0.86893,612,40,,-0.291,-0.143,4882,17
119,Senate,40704,5,0,RI,100,,,"WHITEHOUSE, Sheldon",W000802,1955.0,,-0.353,-0.109,-56.55303,0.90976,598,19,,-0.334,-0.248,4743,9
119,Senate,21173,48,0,SC,200,,,"SCOTT, Tim",S001184,1965.0,,0.629,0.022,-9.52437,0.98425,600,5,,0.506,0.41,1847,7
119,Senate,29566,48,0,SC,200,,,"GRAHAM, Lindsey O.",G000359,1955.0,,0.367,-0.272,-21.6301,0.96352,582,3,,0.454,0.301,3582,15
119,Senate,29754,37,0,SD,200,,,"THUNE, John",T000250,1961.0,,0.432,0.227,-40.39093,0.93683,619,10,,0.343,0.187,2790,13
119,Senate,41505,37,0,SD,200,,,"ROUNDS, Marion Michael (Mike)",R000605,1954.0,,0.351,0.086,-10.52525,0.98306,616,2,,0.386,0.33,1807,5
119,Senate,20351,54,0,TN,200,,,"BLACKBURN, Marsha",B001243,1952.0,,0.632,0.14,-5.6501,0.99044,588,2,,0.635,0.164,4715,11
119,Senate,42100,54,0,TN,200,,,"HAGERTY, William Francis (Bill)",H000601,1959.0,,0.68,-0.088,-5.76808,0.99046,602,0,,0.771,0.086,810,2
119,Senate,40305,49,0,TX,200,,,"CORNYN, John",C001056,1952.0,,0.47,-0.061,-8.96373,0.9856,618,2,,0.617,0.342,3972,12
119,Senate,41304,49,0,TX,200,,,"CRUZ, Rafael Edward (Ted)",C001098,1970.0,,0.78,-0.176,-9.28005,0.98415,581,2,,0.821,0.207,2011,6
119,Senate,21755,67,0,UT,200,,,"CURTIS, John R.",C001114,1960.0,,0.45,0.117,-26.84239,0.95702,611,9,,0.668,-0.114,849,4
119,Senate,41110,67,0,UT,200,,,"LEE, Mike",L000577,1971.0,,0.891,-0.454,-25.52659,0.95821,598,10,,0.992,0.063,1716,7
119,Senate,20750,6,0,VT,100,,,"WELCH, Peter",W000800,1947.0,,-0.404,-0.398,-59.70622,0.90072,571,25,,-0.342,-0.555,5250,9
119,Senate,29147,6,0,VT,328,,,"SANDERS, Bernard",S000033,1941.0,,-0.544,-0.427,-19.2713,0.96641,564,6,,-0.655,-0.608,7754,17
119,Senate,40909,40,0,VA,100,,,"WARNER, Mark",W000805,1954.0,,-0.211,-0.042,-73.3584,0.88545,603,24,,-0.23,0.013,2433,8
119,Senate,41305,40,0,VA,100,,,"KAINE, Timothy Michael (Tim)",K000384,1958.0,,-0.241,-0.104,-87.15959,0.86766,614,51,,-0.218,-0.219,2719,6
119,Senate,39310,73,0,WA,100,,,"CANTWELL, Maria E.",C000127,1958.0,,-0.307,-0.402,-47.33072,0.92639,619,14,,-0.346,-0.296,4177,13
119,Senate,49308,73,0,WA,100,,,"MURRAY, Patty",M001111,1950.0,,-0.356,-0.312,-28.58613,0.95158,576,7,,-0.472,-0.257,6293,16
119,Senate,20146,56,0,WV,200,,,"CAPITO, Shelley Moore",C001047,1953.0,,0.284,0.143,-15.997,0.97412,610,2,,0.454,0.301,3872,12
119,Senate,42504,56,0,WV,200,,,"JUSTICE, James Conley, II",J000312,1951.0,,0.566,0.326,-6.24795,0.98957,596,3,,0.566,0.326,187,0
119,Senate,29940,25,0,WI,100,,,"BALDWIN, Tammy",B001230,1962.0,,-0.487,-0.127,-54.48254,0.91548,617,29,,-0.393,-0.123,6712,13
119,Senate,41111,25,0,WI,200,,,"JOHNSON, Ron",J000293,1955.0,,0.641,-0.139,-7.8511,0.98725,612,1,,0.797,0.095,1318,7
119,Senate,20953,68,0,WY,200,,,"LUMMIS, Cynthia M.",L000571,1954.0,,0.685,-0.328,-19.53065,0.96787,598,7,,0.938,0.03,2133,6
119,Senate,40707,68,0,WY,200,,,"BARRASSO, John A.",B001261,1952.0,,0.54,0.194,-9.21621,0.98517,617,4,,0.63,0.245,2393,9
