congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2,pieces_cosponsored,num_congresses
110,Senate,14712,40,0.0,VA,200,0,1,"WARNER, John William",W000154,1927,2021.0,0.262,-0.131,-148.75207,0.744,503,69,,0.252,-0.318,3938,14
110,Senate,40706,40,0.0,VA,100,0,1,"WEBB, James H. (Jim)",W000803,1946,,-0.169,0.023,-114.1986,0.811,544,48,,-0.231,0.109,530,0
110,Senate,39310,73,0.0,WA,100,0,1,"CANTWELL, Maria E.",C000127,1958,,-0.307,-0.402,-62.58922,0.89132,544,25,,-0.31,-0.501,4177,4
110,Senate,49308,73,0.0,WA,100,0,1,"MURRAY, Patty",M001111,1950,,-0.356,-0.312,-46.90343,0.91636,537,19,,-0.35,-0.223,6293,7
110,Senate,1366,56,0.0,WV,100,0,1,"BYRD, Robert Carlyle",B001210,1917,2010.0,-0.309,0.729,-134.32444,0.762,493,65,,-0.433,0.902,2425,27
110,Senate,14922,56,0.0,WV,100,0,1,"ROCKEFELLER, John Davison IV (Jay)",R000361,1937,,-0.326,0.177,-92.70446,0.838,523,50,,-0.28,0.346,3749,11
110,Senate,15703,25,0.0,WI,100,0,1,"KOHL, Herbert H.",K000305,1935,2023.0,-0.256,-0.406,-63.25436,0.892,551,25,,-0.286,-0.204,2655,9
110,Senate,49309,25,0.0,WI,100,0,1,"FEINGOLD, Russell Dana",F000061,1953,,-0.308,-0.951,-165.97253,0.74,551,73,,-0.988,0.152,2657,7
110,Senate,15633,68,0.0,WY,200,1,1,"THOMAS, Craig Lyle",T000162,1933,2007.0,0.446,-0.128,-32.51516,0.766,122,11,,0.541,0.14,1805,9
110,Senate,40707,68,0.0,WY,200,2,2,"BARRASSO, John A.",B001261,1952,,0.54,0.194,-71.61789,0.82488,372,33,,0.58,0.329,2393,0
110,Senate,49706,68,0.0,WY,200,0,1,"ENZI, Michael B.",E000285,1944,2021.0,0.545,0.199,-103.89855,0.82468,539,49,,0.567,0.243,2813,5
